Date,AAPL,^GSPC
2023-10-13,176.7782440185547,4327.77978515625
2023-10-16,176.64971923828125,4373.6298828125
2023-10-17,175.09791564941406,4373.2001953125
2023-10-18,173.8031005859375,4314.60009765625
2023-10-19,173.42750549316406,4278.0
2023-10-20,170.8773956298828,4224.16015625
2023-10-23,170.9959716796875,4217.0400390625
2023-10-24,171.43089294433594,4247.68017578125
2023-10-25,169.11802673339844,4186.77001953125
2023-10-26,164.95677185058594,4137.22998046875
2023-10-27,166.27134704589844,4117.3701171875
2023-10-30,168.31736755371094,4166.81982421875
2023-10-31,168.7918243408203,4193.7998046875
2023-11-01,171.9547576904297,4237.85986328125
2023-11-02,175.51303100585938,4317.77978515625
2023-11-03,174.6037139892578,4358.33984375
2023-11-06,177.15383911132812,4365.97998046875
2023-11-07,179.71380615234375,4378.3798828125
2023-11-08,180.7714080810547,4382.77978515625
2023-11-09,180.29696655273438,4347.35009765625
2023-11-10,184.48350524902344,4415.240234375
2023-11-13,182.8999481201172,4411.5498046875
2023-11-14,185.5128173828125,4495.7001953125
2023-11-15,186.07693481445312,4502.8798828125
2023-11-16,187.75946044921875,4508.240234375
2023-11-17,187.73968505859375,4514.02001953125
2023-11-20,189.4815673828125,4547.3798828125
2023-11-21,188.67990112304688,4538.18994140625
2023-11-22,189.343017578125,4556.6201171875
2023-11-24,188.0167999267578,4559.33984375
2023-11-27,187.83863830566406,4550.43017578125
2023-11-28,188.44235229492188,4554.89013671875
2023-11-29,187.42295837402344,4550.580078125
2023-11-30,187.99696350097656,4567.7998046875
2023-12-01,189.2737579345703,4594.6298828125
2023-12-04,187.48231506347656,4569.77978515625
2023-12-05,191.43133544921875,4567.18017578125
2023-12-06,190.34263610839844,4549.33984375
2023-12-07,192.2725830078125,4585.58984375
2023-12-08,193.69776916503906,4604.3701171875
2023-12-11,191.19378662109375,4622.43994140625
2023-12-12,192.70806884765625,4643.7001953125
2023-12-13,195.92466735839844,4707.08984375
2023-12-14,196.07308959960938,4719.5498046875
2023-12-15,195.5386505126953,4719.18994140625
2023-12-18,193.8759307861328,4740.56005859375
2023-12-19,194.91513061523438,4768.3701171875
2023-12-20,192.8268280029297,4698.35009765625
2023-12-21,192.67835998535156,4746.75
2023-12-22,191.60948181152344,4754.6298828125
2023-12-26,191.06512451171875,4774.75
2023-12-27,191.1641082763672,4781.580078125
2023-12-28,191.58969116210938,4783.35009765625
2023-12-29,190.55047607421875,4769.830078125
2024-01-02,183.7313232421875,4742.830078125
2024-01-03,182.35560607910156,4704.81005859375
2024-01-04,180.03964233398438,4688.68017578125
2024-01-05,179.31715393066406,4697.240234375
2024-01-08,183.6521453857422,4763.5400390625
2024-01-09,183.23643493652344,4756.5
2024-01-10,184.27565002441406,4783.4501953125
2024-01-11,183.68182373046875,4780.240234375
2024-01-12,184.0084228515625,4783.830078125
2024-01-16,181.74197387695312,4765.97998046875
2024-01-17,180.80172729492188,4739.2099609375
2024-01-18,186.69058227539062,4780.93994140625
2024-01-19,189.59042358398438,4839.81005859375
2024-01-22,191.896484375,4850.43017578125
2024-01-23,193.17320251464844,4864.60009765625
2024-01-24,192.5001983642578,4868.5498046875
2024-01-25,192.17359924316406,4894.16015625
2024-01-26,190.4416046142578,4890.97021484375
2024-01-29,189.75868225097656,4927.93017578125
2024-01-30,186.1066131591797,4924.97021484375
2024-01-31,182.50404357910156,4845.64990234375
2024-02-01,184.93878173828125,4906.18994140625
2024-02-02,183.93914794921875,4958.60986328125
2024-02-05,185.7503204345703,4942.81005859375
2024-02-06,187.35369873046875,4954.22998046875
2024-02-07,187.4625701904297,4995.06005859375
2024-02-08,186.38377380371094,4997.91015625
2024-02-09,187.14683532714844,5026.60986328125
2024-02-12,185.46214294433594,5021.83984375
2024-02-13,183.3711700439453,4953.169921875
2024-02-14,182.4891815185547,5000.6201171875
2024-02-15,182.2018280029297,5029.72998046875
2024-02-16,180.66578674316406,5005.56982421875
2024-02-20,179.9225616455078,4975.509765625
